7.769875,0
8.201042,1
8.665379,2
9.046505,3
9.460848,0
9.808008,1
10.22217,2
10.61977,3
11.00081,0
11.36528,1
11.73121,2
12.13009,3
12.52826,0
12.89295,1
13.2571,2
13.67063,3
14.0351,0
14.41613,1
14.76429,2
15.1617,3
15.55945,0
15.95732,1
16.3213,2
16.73572,3
17.18276,0
17.66325,1
18.16295,2
18.67832,3
19.25871,1
19.25871,2
22.85345,3
22.87304,0
23.67722,1
23.6939,2
24.47298,1
24.85362,2
25.51636,1
25.69892,2
26.26847,0
26.99731,3
27.80876,1
28.20636,2
28.96843,3
29.78075,0
30.52576,3
30.8738,0
31.2588,1
31.65586,2
32.36823,3
33.06492,0
33.89312,1
34.24175,2
35.14135,3
35.47268,2
35.80402,0
36.49982,1
37.32951,2
38.27421,0
38.60501,1
38.90321,2
39.58244,3
39.96347,0
40.34451,1
41.10659,3
41.48843,2
41.85232,1
42.65147,3
43.37563,0
44.13769,2
44.55186,1
44.86717,0
45.67916,1
45.69857,2
46.40123,0
46.41815,3
47.18003,3
47.94192,0
48.72055,2
49.06845,1
49.41635,2
50.19501,3
50.97403,0
51.75472,1
52.10237,2
52.46742,1
53.2289,3
53.99493,0
54.76065,2
55.16064,1
55.90554,3
56.30334,0
56.98534,2
57.38295,1
57.74817,2
58.02934,1
58.39372,2
59.27155,3
59.60342,0
60.01737,2
60.86113,3
61.20935,3
61.54057,3
62.30344,1
62.66696,2
63.08113,1
63.85976,3
64.62265,0
65.41821,2
65.72347,1
66.10878,3
66.87134,0
67.63261,0
68.42813,3
69.19036,1
69.98656,2
70.28485,0
70.74845,3
71.51068,1
72.27475,2
72.97704,0
73.35876,3
73.73945,1
74.53431,3
75.21355,2
76.00875,1
76.41142,2
76.72619,1
77.50482,3
78.26706,0
79.02895,1
79.41043,2
79.79883,1
80.66077,3
81.3559,0
82.03551,1
82.48302,2
82.89701,1
82.89701,2
